companyName,CIN,GSTIN,phone,email,address,startDate,renewalDate,category,directors,description,status
Digital Corporation,UR5CLWJL3K5CBBJE568Z5Y,1QDEHIHBXQUFP5HL3,9108145802,digitalcorporation741@gmail.com,"49 Park Street, HSR Layout, Surat, Madhya Pradesh",2024-02-08,2025-01-03,Manufacturing,"35794196, 75459512",Involved in various business activities.,vacated
International Partners,UOIK4YO4999R9THR3AVFUF,K0DEKO9ZU7M5SDM7G,6773804867,internationalpartners339@gmail.com,"31 Park Street, HSR Layout, Delhi, Uttar Pradesh",2024-07-06,2025-06-01,Education,"33181127, 75072279",Involved in various business activities.,vacated
Limited Corporation,U7Q3DEFVUD62ENE75CNZJ0,VXDEBHYCTIFPTF570,9182338579,limitedcorporation831@gmail.com,"25 Park Street, Koramangala, Delhi, Andhra Pradesh",2022-08-16,2023-07-12,Construction,"97096755, 34057661",Involved in various business activities.,vacated
Solutions Solutions,UCL90OQJ1S4OTHICVE5P8J,PCDELG22ZWZF9L0Z1,5983153113,solutionssolutions583@gmail.com,"85 Park Street, Koramangala, Bangalore, Gujarat",2023-06-24,2024-05-19,Advertising,"18115254, 81893774",Involved in various business activities.,vacated
Creative Services,UUP1R5SP48HEYF8XD9X72R,XTDE41I4DBLZIEPHF,2183939551,creativeservices215@gmail.com,"59 Main Road, Koramangala, Surat, Andhra Pradesh",2024-11-24,2025-10-20,E-commerce,"22058341, 39354355",Involved in various business activities.,inactive
Solutions Solutions,UUSKZ36SIDI7XY2UKPIWGU,L6DEJVZ3M8O84M92W,9329762215,solutionssolutions822@gmail.com,"72 Sarat Bose Road, Indiranagar, Surat, Gujarat",2024-09-20,2025-08-16,Media,"97655070, 72522262",Involved in various business activities.,vacated
Future Industries,UWDT2NAV6J3W1EXONX8HHG,2EDEPBDOJW5UNR44P,8423475464,futureindustries628@gmail.com,"97 Park Street, Koramangala, Surat, Andhra Pradesh",2023-10-06,2024-08-31,Manufacturing,"92528453, 34183383",Involved in various business activities.,active
Group Services,US12DFYXCM3TNBQ1D9R0MF,M7DEMC70F9ZI17GFB,1491902266,groupservices951@gmail.com,"43 Sarat Bose Road, Bandra, Pune, Karnataka",2024-02-22,2025-01-17,Advertising,"97416254, 44247715",Involved in various business activities.,inactive
Smart Corporation,UV5B9UW2GR91K7R0MY0JAJ,A2DEONPONOAD7S3NP,5339231249,smartcorporation743@gmail.com,"49 MG Road, HSR Layout, Mumbai, Andhra Pradesh",2024-03-19,2025-02-12,Manufacturing,"50428410, 88262813",Involved in various business activities.,active
Corp Consulting,UMD82LGP72D8O3F9EXZFUQ,AIDEDXSD0XR9YDYJ9,6076189803,corpconsulting481@gmail.com,"11 Park Street, Koramangala, Mumbai, Maharashtra",2023-10-08,2024-09-02,Healthcare,"51002913, 86246563",Involved in various business activities.,active
Creative Enterprise,UI66DRSPR7COXBT3AXS4T6,CKDE94ZG4CGVLWVCO,2536789639,creativeenterprise174@gmail.com,"52 Park Street, Indiranagar, Pune, Tamil Nadu",2024-04-22,2025-03-18,Education,"84117451, 75410923",Involved in various business activities.,vacated
Creative Group,UYHGA5ZY57SAQ0N2414UN9,IKDEN200QPKU8BJ7E,2405389003,creativegroup571@gmail.com,"97 Park Street, Andheri, Mumbai, Maharashtra",2024-08-28,2025-07-24,Finance,"24854784, 82801933",Involved in various business activities.,active
Enterprise Services,UC684M3XBC40FCQ2U0U1WZ,U4DEYPNYIWVY7RRS8,1133134504,enterpriseservices333@gmail.com,"66 Park Street, HSR Layout, Delhi, Karnataka",2022-12-20,2023-11-15,Retail,"60171019, 53192185",Involved in various business activities.,active
Future Partners,U8RCDMQ1PYQ9GS1VQLKB4J,4MDEROLK2OX9FOH02,1514399717,futurepartners585@gmail.com,"78 MG Road, Koramangala, Chennai, Karnataka",2023-03-01,2024-01-25,Construction,"80507291, 92775097",Involved in various business activities.,inactive
International Technologies,UKVA9D6GA1KWYOQBUJ0J66,DUDETRQIF2EJM7MJ6,7078691738,internationaltechnologies641@gmail.com,"25 Sarat Bose Road, Andheri, Hyderabad, Gujarat",2023-11-23,2024-10-18,Retail,"67278375, 52398125",Involved in various business activities.,active
Systems Corporation,UUTU0V1A4GJEV4XH71ITNC,QODEF1U4BYQALJ9BW,6452965609,systemscorporation910@gmail.com,"96 MG Road, Andheri, Pune, Tamil Nadu",2023-11-15,2024-10-10,Manufacturing,"99051437, 38517912",Involved in various business activities.,inactive
Group Technologies,UHX2BRMNTSUM59XIRBMPYY,0ODE555KO2FSCHIUU,4048382661,grouptechnologies912@gmail.com,"17 MG Road, Bandra, Kolkata, Maharashtra",2023-10-08,2024-09-02,IT services,"27995207, 82890759",Involved in various business activities.,active
Digital Solutions,UBINB4A8BV7FKTLBDU0CCT,9SDEAJ46W9CQKBG4W,5747086199,digitalsolutions655@gmail.com,"76 MG Road, Andheri, Mumbai, Karnataka",2022-12-30,2023-11-25,E-commerce,"16371102, 68961801",Involved in various business activities.,vacated
Global Enterprise,UAT90HRNPXTCD7OU52JA5L,3TDELXG0B61YKPUDT,6706454856,globalenterprise558@gmail.com,"62 Park Street, Koramangala, Hyderabad, Uttar Pradesh",2023-11-11,2024-10-06,Retail,"72158215, 48714478",Involved in various business activities.,vacated
International Enterprise,UB9M5OE1923UOY8VDLXKZD,E3DE54AAGD9QQ4J4V,6829599590,internationalenterprise934@gmail.com,"33 Main Road, Bandra, Delhi, Uttar Pradesh",2022-11-29,2023-10-25,Construction,"52836116, 75337943",Involved in various business activities.,vacated
Creative Corporation,UY6C1LF9K76KRCHUK9CWFT,0KDETM80663FH551N,2538481953,creativecorporation363@gmail.com,"45 Main Road, Indiranagar, Mumbai, Telangana",2022-03-24,2023-02-17,Retail,"56902901, 55259869",Involved in various business activities.,vacated
Enterprise Corporation,UOSDJ0V412MC2EHFNEID3K,KGDE50GWIHDNRS4MH,5569867995,enterprisecorporation707@gmail.com,"72 Tilak Road, Koramangala, Pune, Tamil Nadu",2022-07-29,2023-06-24,Education,"59794200, 63936013",Involved in various business activities.,vacated
Smart Technologies,UUNVCMPYA91WSUOU68F62Q,MSDEFBHMM8UCRBKFD,4208436928,smarttechnologies821@gmail.com,"82 Park Street, Bandra, Pune, Tamil Nadu",2023-09-24,2024-08-19,Education,"37290228, 91224259",Involved in various business activities.,vacated
International Technologies,U192VNY2VQKRPT7SLR41ET,QIDESA7LYKUAV473J,6117438711,internationaltechnologies543@gmail.com,"2 Main Road, Bandra, Jaipur, Telangana",2023-12-17,2024-11-11,Construction,"29450685, 99273564",Involved in various business activities.,inactive
International Enterprise,U7I35Y1QXI3WX9CBCYGABQ,P3DEUKSEJI780UKXA,9666169412,internationalenterprise415@gmail.com,"20 MG Road, HSR Layout, Mumbai, Uttar Pradesh",2022-09-04,2023-07-31,Finance,"36449074, 11300283",Involved in various business activities.,inactive
Digital Solutions,UZEKMWVX1PGDPAC6AI56W4,WZDEWO1YO4HLVPCLB,7765892966,digitalsolutions954@gmail.com,"8 Main Road, HSR Layout, Ahmedabad, Andhra Pradesh",2023-05-31,2024-04-25,E-commerce,"78098318, 55221889",Involved in various business activities.,active
Solutions Group,U3Y7GWAZSA59GA5QS8VF91,5SDEZGRK01GEPAOAY,8236412063,solutionsgroup429@gmail.com,"19 MG Road, Indiranagar, Kolkata, Karnataka",2024-07-12,2025-06-07,Media,"45710497, 60761430",Involved in various business activities.,active
Tech Technologies,UFR790SNFCGAOKMZVY43UH,8DDEAP4X5E57YZDKG,8258012160,techtechnologies706@gmail.com,"72 MG Road, Koramangala, Bangalore, Tamil Nadu",2022-07-03,2023-05-29,Media,"55036413, 53917893",Involved in various business activities.,active
Creative Group,U4SEYFZWH3GAD5QYGA3UAY,94DEHOPUFO362HPA1,6936804010,creativegroup570@gmail.com,"12 MG Road, Koramangala, Jaipur, Telangana",2022-12-13,2023-11-08,Finance,"36814666, 87334293",Involved in various business activities.,active
International Limited,UTGSWQ5D9KJ8U90KP31AMP,3DDES95SOSAGTULVQ,1519384684,internationallimited704@gmail.com,"48 Sarat Bose Road, Indiranagar, Delhi, Madhya Pradesh",2022-12-19,2023-11-14,Construction,"40584153, 76905720",Involved in various business activities.,inactive
Smart Limited,U0GPM6XT0MDXT7ERHWY3C6,4LDEJCZGF8BX1DG9H,6261885586,smartlimited938@gmail.com,"2 Park Street, Andheri, Ahmedabad, Gujarat",2023-02-08,2024-01-04,E-commerce,"51983344, 45167161",Involved in various business activities.,vacated
Future Enterprise,U4QD02XICXID9YU7MTA4T3,TDDEB8GNBHY99WLA0,3424347880,futureenterprise304@gmail.com,"99 Main Road, Andheri, Bangalore, West Bengal",2022-02-17,2023-01-13,Manufacturing,"26076407, 93613061",Involved in various business activities.,inactive
International Solutions,UFC0R3NG2GGY4APJ1E4U72,17DEILV97V4T6E5L3,6611875875,internationalsolutions417@gmail.com,"36 Tilak Road, Andheri, Mumbai, Tamil Nadu",2023-02-09,2024-01-05,Media,"87744667, 99675559",Involved in various business activities.,inactive
Inc Limited,UX3MBL8Y1I87Q0LICX6HZR,81DEDRA8DW00Y8CP3,8621454676,inclimited958@gmail.com,"11 Tilak Road, Bandra, Hyderabad, Madhya Pradesh",2023-11-03,2024-09-28,Media,"90593976, 56254310",Involved in various business activities.,active
Smart Technologies,USG5PZLC1Q14M75UZUN1DL,Z6DEE048M0EWPC0AP,2933350951,smarttechnologies816@gmail.com,"51 Main Road, Indiranagar, Bangalore, Tamil Nadu",2023-05-17,2024-04-11,Finance,"73403356, 67789518",Involved in various business activities.,vacated
Future Technologies,UAQ8EUGDH5W5KRSIQVWNUX,0TDEID1FYDSSYJYHN,3016224987,futuretechnologies987@gmail.com,"26 MG Road, Bandra, Surat, Tamil Nadu",2023-11-08,2024-10-03,Education,"34597153, 23435624",Involved in various business activities.,inactive
Tech Group,UPUKXUJOLXP5JD8LZH7EST,DWDETKNNWQ0PPIFKH,6142763866,techgroup240@gmail.com,"2 MG Road, Indiranagar, Jaipur, Madhya Pradesh",2024-11-18,2025-10-14,Advertising,"73187582, 69951368",Involved in various business activities.,vacated
Systems Group,UO2LJSRH0EZNKLHR2L6SM7,CXDENHBVSOGLM5L4B,3535944145,systemsgroup224@gmail.com,"91 Sarat Bose Road, Koramangala, Pune, Maharashtra",2023-06-23,2024-05-18,Education,"79385818, 12874238",Involved in various business activities.,inactive
Smart Partners,UFRWI3GIP27BQY1TJJA0YO,08DEHS28MRVDN515J,2402270004,smartpartners375@gmail.com,"33 Main Road, Indiranagar, Mumbai, West Bengal",2024-07-29,2025-06-24,Media,"95858774, 99695661",Involved in various business activities.,active
Solutions Group,UUUPWJI29O61VOMM88UUB5,BODE0ONWB8JQIHHZA,5972703961,solutionsgroup223@gmail.com,"26 MG Road, HSR Layout, Chennai, Andhra Pradesh",2024-09-18,2025-08-14,Media,"71535181, 91201171",Involved in various business activities.,vacated
International Solutions,UV9ASC1NWQR0GAQ3X1M3JD,TTDE5682QYX3JBUZF,1654155786,internationalsolutions604@gmail.com,"75 Tilak Road, Koramangala, Kolkata, Maharashtra",2024-02-17,2025-01-12,Healthcare,"94045546, 33712268",Involved in various business activities.,inactive
Future Services,UYL6XW1X58NW9JY11QW1HX,OADEZH1V328QBBYDS,2147542638,futureservices420@gmail.com,"9 Sarat Bose Road, Indiranagar, Hyderabad, Uttar Pradesh",2023-04-27,2024-03-22,E-commerce,"12385853, 62974558",Involved in various business activities.,active
Enterprise Industries,UEDOEDGQ4JXZAJ5GM64CWQ,XWDEQVQ2N7DIMBKGB,6387329580,enterpriseindustries978@gmail.com,"6 Tilak Road, Koramangala, Surat, Maharashtra",2023-11-18,2024-10-13,Education,"19666907, 11362219",Involved in various business activities.,inactive
Inc Solutions,UKN2K9J781AIGOUCL36X57,UUDEGNX8YPCFPAUQZ,2012359451,incsolutions818@gmail.com,"63 MG Road, Koramangala, Bangalore, Karnataka",2024-05-17,2025-04-12,Media,"36998517, 44381787",Involved in various business activities.,vacated
Digital Technologies,UXUULHJ8258S10QIHCTP9P,GQDENUTV1Y0358PCV,7001486476,digitaltechnologies869@gmail.com,"21 Sarat Bose Road, Indiranagar, Hyderabad, Tamil Nadu",2023-08-16,2024-07-11,Finance,"10013459, 37668929",Involved in various business activities.,inactive
Corp Group,UVE58OD3GCISVU8NJIV7HC,F9DELDQMY0VN219RE,7045467910,corpgroup487@gmail.com,"55 Main Road, Bandra, Jaipur, Gujarat",2024-10-17,2025-09-12,Retail,"54311558, 86739133",Involved in various business activities.,inactive
Inc Solutions,UKV1MW1BJ7SNY3IQDEBWOA,QGDEJ5F4MJRNAI77J,8637614943,incsolutions836@gmail.com,"93 Tilak Road, Bandra, Mumbai, Maharashtra",2024-03-31,2025-02-24,Advertising,"52835952, 86105753",Involved in various business activities.,vacated
Inc Enterprise,UQMJ4V6XZAY8VL9H0Y434W,DBDEZ5N6RDQ3KC755,6968896848,incenterprise645@gmail.com,"21 Main Road, Koramangala, Jaipur, Andhra Pradesh",2024-07-21,2025-06-16,E-commerce,"98349394, 68872807",Involved in various business activities.,active
Tech Group,UIW89PJPN40DXRVXBEQ6Y4,KODE6WDHX7ZLFFCVD,4648233588,techgroup447@gmail.com,"3 Sarat Bose Road, HSR Layout, Surat, Bihar",2024-10-17,2025-09-12,Healthcare,"74689053, 67496087",Involved in various business activities.,vacated
Future Solutions,UL2GC6L6B0YR6CSLX98OHQ,KNDESCB9DJCI1E675,2859110392,futuresolutions716@gmail.com,"54 Main Road, Bandra, Bangalore, Uttar Pradesh",2023-05-22,2024-04-16,Advertising,"52958983, 51519953",Involved in various business activities.,active
Limited Partners,U6ES14QNVFJE0GS09PWIIV,FNDEYZSEEB6VL6SO7,1039884739,limitedpartners288@gmail.com,"44 Park Street, Bandra, Kolkata, Madhya Pradesh",2022-12-20,2023-11-15,Media,"31125559, 96190828",Involved in various business activities.,vacated
Solutions Corporation,UXTYU95K1N1M5R6K0POJ4U,HODESW6HC5KQ6PLBN,4301139767,solutionscorporation724@gmail.com,"67 Main Road, Koramangala, Jaipur, Bihar",2024-10-01,2025-08-27,Construction,"28589754, 33299769",Involved in various business activities.,vacated
Systems Industries,UUMYBS37OZ43NYIMO9IYMH,9BDE04T6D232UTQ59,4289091598,systemsindustries766@gmail.com,"47 Tilak Road, Andheri, Delhi, Bihar",2022-03-03,2023-01-27,E-commerce,"44616949, 71847489",Involved in various business activities.,inactive
Solutions Solutions,UCY8DDJKBQN8GRQXTDDUAE,REDEFE2GXIWT44BAH,7686480646,solutionssolutions865@gmail.com,"77 Sarat Bose Road, Andheri, Kolkata, Maharashtra",2023-02-13,2024-01-09,Healthcare,"54149831, 28568556",Involved in various business activities.,vacated
Innovative Consulting,UH57B71JGTH2XQEA143JZO,J8DEZKSKGD06FOPQJ,1211358335,innovativeconsulting772@gmail.com,"64 Sarat Bose Road, HSR Layout, Delhi, Uttar Pradesh",2024-08-07,2025-07-03,Healthcare,"73463113, 32295983",Involved in various business activities.,active
Systems Technologies,UC17ZT1W2QQCE1LTYDESB3,N4DESEDHW8DA4LEVY,1717138530,systemstechnologies469@gmail.com,"51 Park Street, Indiranagar, Ahmedabad, Tamil Nadu",2024-02-27,2025-01-22,Manufacturing,"87260983, 70422481",Involved in various business activities.,inactive
Limited Enterprise,U2L6Z8CAK7ASHPJRQMCK75,9ADEP25N1SSU4YHX2,5243465996,limitedenterprise611@gmail.com,"90 Park Street, HSR Layout, Surat, Tamil Nadu",2023-12-15,2024-11-09,Retail,"77588576, 27950204",Involved in various business activities.,inactive
Solutions Industries,UORZ08Y8JLXPREN3H3MZRJ,NUDEZXVRZLO7GRIOR,7995641463,solutionsindustries149@gmail.com,"20 Park Street, HSR Layout, Pune, Gujarat",2023-01-17,2023-12-13,Advertising,"22863328, 77919058",Involved in various business activities.,active
Smart Solutions,UG7IBP8XFMP7DM7PXDTFVI,2RDEA9R052SL1SV88,7268108872,smartsolutions109@gmail.com,"29 Sarat Bose Road, Indiranagar, Delhi, Telangana",2024-05-17,2025-04-12,Manufacturing,"45305475, 11731191",Involved in various business activities.,active
Future Corporation,U671XDUL3GH9TKIED3R6F3,7TDE4CORYGIEAOF4L,5936824848,futurecorporation571@gmail.com,"3 Sarat Bose Road, Koramangala, Ahmedabad, West Bengal",2023-09-27,2024-08-22,IT services,"81677258, 51317309",Involved in various business activities.,active
Enterprise Industries,U4SEIR5WI3QT8ZQ5FD5NW0,9DDEZSIWZVD8F312I,3777329856,enterpriseindustries441@gmail.com,"79 Main Road, Indiranagar, Surat, Madhya Pradesh",2024-06-04,2025-04-30,Advertising,"19767113, 55799628",Involved in various business activities.,active
Solutions Corporation,UDZF963QO7D56C9HUN8KI5,ORDES7C4HLG1W03UY,4865022439,solutionscorporation396@gmail.com,"97 Park Street, Koramangala, Delhi, Gujarat",2022-08-03,2023-06-29,Advertising,"85712246, 53666154",Involved in various business activities.,active
Systems Consulting,UHSQ63OAJV2UKHGCJKZOP8,1HDEWU501L2G0D3EW,6762447601,systemsconsulting687@gmail.com,"93 MG Road, Koramangala, Surat, Bihar",2023-10-06,2024-08-31,Advertising,"76792692, 86680923",Involved in various business activities.,vacated
Corp Limited,UQ5OBPGZ2HNANKQMJW3YZI,V7DECBYFXYBLB87EI,5396085294,corplimited651@gmail.com,"1 MG Road, Andheri, Surat, Andhra Pradesh",2023-06-11,2024-05-06,Retail,"30831614, 64660088",Involved in various business activities.,inactive
Innovative Partners,U0SMFHLVM7328A1KG6M9KD,3XDEZADTNMLMV64LC,9721553412,innovativepartners763@gmail.com,"95 MG Road, Bandra, Surat, Andhra Pradesh",2021-12-15,2022-11-10,Finance,"22780224, 91421823",Involved in various business activities.,inactive
Creative Solutions,UVT4NAJ8G5ZTXKCKHW5XM4,FVDE6BF8QES3RS9DK,7389184139,creativesolutions875@gmail.com,"10 MG Road, Koramangala, Pune, Madhya Pradesh",2023-01-23,2023-12-19,E-commerce,"65660759, 56585096",Involved in various business activities.,inactive
Inc Industries,UXF719F7WBMNLTZRCXHFQ0,X8DE0TLPUB0ZGUI7B,9272780884,incindustries921@gmail.com,"3 Tilak Road, Koramangala, Jaipur, Gujarat",2023-04-09,2024-03-04,Finance,"99889218, 43123094",Involved in various business activities.,vacated
Inc Corporation,UGQIZK1TGV7GI07QOT3YAF,ZNDEDA13USO33EP5V,5291376881,inccorporation761@gmail.com,"32 Sarat Bose Road, Koramangala, Bangalore, Gujarat",2023-08-04,2024-06-29,Media,"97071084, 23331125",Involved in various business activities.,vacated
Corp Group,USCKZ55KWRSX2YB8HQAJVX,U0DEPOJCQLL2LE6YG,5531292804,corpgroup850@gmail.com,"18 MG Road, Andheri, Mumbai, Telangana",2022-12-24,2023-11-19,Finance,"83114769, 45876759",Involved in various business activities.,vacated
Creative Partners,US26DT762X51BBPOAHWKU2,5WDEG1G37WHXK2AGA,1767088259,creativepartners217@gmail.com,"13 Tilak Road, HSR Layout, Surat, Gujarat",2024-07-17,2025-06-12,Healthcare,"94026908, 36235758",Involved in various business activities.,inactive
Solutions Group,UBKSZU44H095J36YAWEWAW,MHDE5T3S797DDD3R8,8242849709,solutionsgroup986@gmail.com,"61 Main Road, Andheri, Pune, Tamil Nadu",2023-06-08,2024-05-03,Retail,"34298643, 67246791",Involved in various business activities.,active
Inc Group,UVRZFFGBMGDKLSZ996G6XK,PADEGX5XJOWQQPJ44,7363936424,incgroup872@gmail.com,"3 MG Road, Koramangala, Bangalore, West Bengal",2024-08-04,2025-06-30,Education,"83724662, 55351322",Involved in various business activities.,inactive
Innovative Enterprise,U756HX6ZZ1PJ03NUSYMDPA,MMDETGVYS7DXH832S,3438717304,innovativeenterprise495@gmail.com,"95 MG Road, Koramangala, Mumbai, Karnataka",2024-07-11,2025-06-06,Construction,"34574386, 66224348",Involved in various business activities.,active
Enterprise Enterprise,UBHSV4F5L0XCH7T2YU1LGN,KWDE9Q6S56SY0Z4U4,4551774670,enterpriseenterprise418@gmail.com,"57 Sarat Bose Road, Koramangala, Chennai, West Bengal",2024-03-16,2025-02-09,Healthcare,"32563227, 13632399",Involved in various business activities.,vacated
Innovative Group,U4E7F9OS5GFLKJRHQIEYB3,4YDEAZFX8VYNV71NQ,5716030716,innovativegroup544@gmail.com,"23 MG Road, HSR Layout, Pune, Maharashtra",2023-02-04,2023-12-31,Media,"92132337, 47423948",Involved in various business activities.,inactive
International Solutions,U3C265700XK7ARONRSONL7,4VDEA24THYWDUAS94,8273219387,internationalsolutions128@gmail.com,"89 Main Road, HSR Layout, Surat, Uttar Pradesh",2023-02-12,2024-01-08,Retail,"76234195, 35200293",Involved in various business activities.,vacated
Limited Consulting,UE8PZ8ORDE423ISXIRP1MZ,R1DEDUN1LXSCARDHG,8827516027,limitedconsulting471@gmail.com,"26 Park Street, Andheri, Pune, Bihar",2023-12-09,2024-11-03,E-commerce,"31086936, 98533316",Involved in various business activities.,inactive
Tech Limited,U9YE1TLA33S2KSC8TFL4MU,53DEDKZJY6AECZ9AZ,5691929438,techlimited751@gmail.com,"31 Park Street, HSR Layout, Ahmedabad, Telangana",2024-05-13,2025-04-08,Finance,"54958041, 80498799",Involved in various business activities.,inactive
Systems Solutions,ULJZSM21DMXXOKPY9JWYQL,VDDEXB9QAI9RW0DPL,7585398036,systemssolutions536@gmail.com,"31 Main Road, Indiranagar, Delhi, Telangana",2023-03-22,2024-02-15,Finance,"10796273, 57040643",Involved in various business activities.,active
Systems Limited,U5PMMQQR5LMAOQSOVZARPP,CWDETQN9SE9HSCKSD,1762280277,systemslimited831@gmail.com,"15 Main Road, Indiranagar, Mumbai, Uttar Pradesh",2024-10-11,2025-09-06,Education,"18452041, 74211578",Involved in various business activities.,inactive
Creative Enterprise,UNNNPR2BZTLZGL47OKR93Y,0IDEFWDMCLTGWE14I,9202703481,creativeenterprise355@gmail.com,"23 Park Street, Indiranagar, Hyderabad, Telangana",2023-08-11,2024-07-06,Media,"95713392, 78639750",Involved in various business activities.,active
Limited Services,UJUT8OBRUJRDBNKEBJLVE5,YNDE2B3WTWJYBCCCQ,3089380814,limitedservices820@gmail.com,"4 MG Road, Andheri, Chennai, Tamil Nadu",2023-10-11,2024-09-05,Finance,"97149987, 22400546",Involved in various business activities.,vacated
Group Partners,USXWDTH5IR51LZ52N21N1D,8LDE529B2SWP8PXCP,1191198642,grouppartners331@gmail.com,"35 Main Road, HSR Layout, Mumbai, Tamil Nadu",2022-05-23,2023-04-18,Construction,"91782115, 88242137",Involved in various business activities.,vacated
Corp Group,UFCQDGVW8BHML4LJ28B0AK,DSDE2FBJ969FFOIG9,3397318613,corpgroup620@gmail.com,"59 Main Road, Indiranagar, Jaipur, West Bengal",2022-01-17,2022-12-13,Healthcare,"24922233, 80667523",Involved in various business activities.,vacated
Global Enterprise,U5GKV42CZLDDXE81UGZTDT,ULDEG9YI1KFL2I9D1,8061965700,globalenterprise908@gmail.com,"17 Park Street, Andheri, Mumbai, Maharashtra",2022-10-31,2023-09-26,Manufacturing,"96537791, 53533007",Involved in various business activities.,inactive
Tech Services,UUVHXA4QBRJ4LP6GJDBH7B,B8DED99WGMD1553RM,1257914870,techservices527@gmail.com,"93 MG Road, HSR Layout, Surat, Andhra Pradesh",2022-04-05,2023-03-01,Finance,"13342235, 82876823",Involved in various business activities.,inactive
Smart Partners,UL26WN9ZVP8W7BR4TOHKFY,HXDEV36FWF0RT6E5G,1613697096,smartpartners460@gmail.com,"9 Tilak Road, Bandra, Surat, Karnataka",2022-11-30,2023-10-26,Media,"97469965, 79416581",Involved in various business activities.,vacated
Systems Group,UJQHJY5RBJPG2C8KORQYNS,10DESTLZF9TK09ZNY,9095833528,systemsgroup538@gmail.com,"73 Main Road, Koramangala, Pune, Gujarat",2024-10-20,2025-09-15,IT services,"72036422, 44236864",Involved in various business activities.,inactive
Limited Corporation,UALHSNSWUGAXWACPWLN38C,SADE84FCJTNVTUVE4,5027080447,limitedcorporation180@gmail.com,"73 MG Road, Bandra, Bangalore, Madhya Pradesh",2023-11-12,2024-10-07,IT services,"30297212, 29448194",Involved in various business activities.,active
Enterprise Enterprise,URGABN2WGWC9KQ87PWHML0,AWDE0LYAUR1LODH4B,2575916631,enterpriseenterprise962@gmail.com,"76 Park Street, Indiranagar, Ahmedabad, Bihar",2023-02-22,2024-01-18,Finance,"48157313, 65484038",Involved in various business activities.,active
Group Consulting,U6OGUJY4R9EIU0DRK345JC,FRDEF3XXR17UDBKLN,9736348846,groupconsulting703@gmail.com,"73 Tilak Road, HSR Layout, Surat, Tamil Nadu",2023-02-14,2024-01-10,Finance,"59174194, 91181671",Involved in various business activities.,vacated
Corp Industries,UQ41MLXHEMY2XS9YMRRJRW,OADEQ4BDU03DEMG4N,9095310797,corpindustries476@gmail.com,"33 MG Road, Indiranagar, Bangalore, Tamil Nadu",2022-10-02,2023-08-28,Retail,"94305771, 27660990",Involved in various business activities.,inactive
Solutions Technologies,UH3AQLR6KRRXD7EHIO0F89,LTDE6FO79LKPEV7T5,7013836197,solutionstechnologies740@gmail.com,"53 Main Road, Andheri, Delhi, Maharashtra",2023-10-17,2024-09-11,Healthcare,"27862346, 74388786",Involved in various business activities.,inactive
Innovative Solutions,UA8PSF9C03SF00O9J41HS1,FEDEZP7NNA923B4PF,1384414606,innovativesolutions639@gmail.com,"81 Main Road, Koramangala, Jaipur, Maharashtra",2022-11-09,2023-10-05,Media,"67699680, 78938193",Involved in various business activities.,vacated
Global Enterprise,U5KXZB59U0COBW9ZNNIGIA,UKDEPOC11QPT7LXSP,3193586610,globalenterprise310@gmail.com,"6 Park Street, Koramangala, Chennai, Maharashtra",2022-01-28,2022-12-24,Finance,"87118422, 94841886",Involved in various business activities.,vacated
Digital Limited,UJCYQ5E6I0Q1FTB399HF3A,S0DEMO10VBZQGZ3PI,3348680032,digitallimited634@gmail.com,"52 Park Street, Indiranagar, Delhi, Andhra Pradesh",2024-01-14,2024-12-09,E-commerce,"32225937, 44310118",Involved in various business activities.,inactive
Future Services,UTF07TO6BDTRCX5FHF4HVP,FQDE6UYJTYDDVW0NJ,4897090274,futureservices204@gmail.com,"92 Park Street, Koramangala, Pune, Telangana",2023-01-06,2023-12-02,Healthcare,"35533247, 35980029",Involved in various business activities.,active
Tech Group,U1HM4RDUJWWS3TVKQ2LLPW,APDE981ANBWWZQN4Q,3426285969,techgroup667@gmail.com,"42 MG Road, Bandra, Kolkata, Maharashtra",2024-07-07,2025-06-02,E-commerce,"16823745, 13456006",Involved in various business activities.,vacated
Creative Services,UID0FVJ9510T7NY2JL0XX7,F1DET8CFSM6SBG1X7,8564257235,creativeservices804@gmail.com,"37 Tilak Road, Koramangala, Surat, Madhya Pradesh",2023-08-26,2024-07-21,Media,"90165026, 78998246",Involved in various business activities.,vacated
Future Solutions,UF4XJ5CQTEXUJPCQDFUIAX,DSDE1MXSFHVCRGBUR,9802577444,futuresolutions397@gmail.com,"99 Main Road, Koramangala, Kolkata, Telangana",2022-06-11,2023-05-07,E-commerce,"83525774, 38558567",Involved in various business activities.,active
Inc Partners,U6BZC1W9H3L7QA1HFYXBC4,B9DE946SLO23BKWU1,1865576691,incpartners331@gmail.com,"50 Main Road, Koramangala, Kolkata, Madhya Pradesh",2022-08-27,2023-07-23,Construction,"99157704, 77301922",Involved in various business activities.,inactive
International Solutions,U6FZ3CEQNUBGGS6DI9DFSQ,QHDE15LTLU71X7X0Y,7592201686,internationalsolutions891@gmail.com,"90 Sarat Bose Road, HSR Layout, Jaipur, West Bengal",2023-05-12,2024-04-06,Construction,"92470615, 28653288",Involved in various business activities.,vacated
Systems Solutions,UWCREKPTJFKV3VR00JSSOK,D1DEO9FM3SF4I61PJ,1616398845,systemssolutions438@gmail.com,"6 Tilak Road, HSR Layout, Mumbai, West Bengal",2024-02-05,2024-12-31,Education,"42765170, 17330241",Involved in various business activities.,active
